Ticker,pos_then_up,pos_then_down,neg_then_up,neg_then_down,considered,total_earnings,sum_pct
APD,16/83 = 19.28%,18/83 = 21.69%,26/83 = 31.33%,23/83 = 27.71%,83,85,100.01
CPT,27/75 = 36.00%,22/75 = 29.33%,14/75 = 18.67%,12/75 = 16.00%,75,85,100.0
HAS,15/82 = 18.29%,25/82 = 30.49%,20/82 = 24.39%,22/82 = 26.83%,82,84,100.0
HST,22/79 = 27.85%,28/79 = 35.44%,19/79 = 24.05%,10/79 = 12.66%,79,85,100.0
TER,23/81 = 28.40%,20/81 = 24.69%,22/81 = 27.16%,16/81 = 19.75%,81,85,100.0
SLB,25/79 = 31.65%,19/79 = 24.05%,20/79 = 25.32%,15/79 = 18.99%,79,84,100.01
AIZ,25/86 = 29.07%,17/86 = 19.77%,23/86 = 26.74%,21/86 = 24.42%,86,87,100.0
MTB,24/84 = 28.57%,18/84 = 21.43%,20/84 = 23.81%,22/84 = 26.19%,84,85,100.0
CPAY,23/57 = 40.35%,12/57 = 21.05%,7/57 = 12.28%,15/57 = 26.32%,57,60,100.0
PWR,25/84 = 29.76%,25/84 = 29.76%,17/84 = 20.24%,17/84 = 20.24%,84,84,100.0
CEG,6/14 = 42.86%,4/14 = 28.57%,1/14 = 7.14%,3/14 = 21.43%,14,14,100.0
TTWO,24/78 = 30.77%,24/78 = 30.77%,12/78 = 15.38%,18/78 = 23.08%,78,80,100.0
JCI,21/79 = 26.58%,21/79 = 26.58%,18/79 = 22.78%,19/79 = 24.05%,79,86,99.99
MTD,27/82 = 32.93%,18/82 = 21.95%,21/82 = 25.61%,16/82 = 19.51%,82,83,100.0
STE,12/27 = 44.44%,5/27 = 18.52%,2/27 = 7.41%,8/27 = 29.63%,27,27,100.0
TMUS,28/71 = 39.44%,20/71 = 28.17%,13/71 = 18.31%,10/71 = 14.08%,71,74,100.0
FRT,14/80 = 17.50%,26/80 = 32.50%,20/80 = 25.00%,20/80 = 25.00%,80,84,100.0
CTAS,26/84 = 30.95%,30/84 = 35.71%,11/84 = 13.10%,17/84 = 20.24%,84,87,100.0
PPL,11/55 = 20.00%,20/55 = 36.36%,7/55 = 12.73%,17/55 = 30.91%,55,60,100.0
URI,29/83 = 34.94%,21/83 = 25.30%,19/83 = 22.89%,14/83 = 16.87%,83,84,100.0
IVZ,11/71 = 15.49%,23/71 = 32.39%,19/71 = 26.76%,18/71 = 25.35%,71,74,99.99
ENPH,15/55 = 27.27%,12/55 = 21.82%,15/55 = 27.27%,13/55 = 23.64%,55,55,100.0
TDY,18/82 = 21.95%,28/82 = 34.15%,15/82 = 18.29%,21/82 = 25.61%,82,85,100.0
AWK,17/69 = 24.64%,22/69 = 31.88%,18/69 = 26.09%,12/69 = 17.39%,69,71,100.0
ZBRA,18/79 = 22.78%,24/79 = 30.38%,15/79 = 18.99%,22/79 = 27.85%,79,83,100.0
CDW,16/49 = 32.65%,10/49 = 20.41%,8/49 = 16.33%,15/49 = 30.61%,49,50,100.0
DLTR,17/76 = 22.37%,22/76 = 28.95%,19/76 = 25.00%,18/76 = 23.68%,76,76,100.0
GILD,24/83 = 28.92%,12/83 = 14.46%,20/83 = 24.10%,27/83 = 32.53%,83,85,100.01
ALLE,14/45 = 31.11%,13/45 = 28.89%,12/45 = 26.67%,6/45 = 13.33%,45,48,100.0
STZ,24/78 = 30.77%,26/78 = 33.33%,14/78 = 17.95%,14/78 = 17.95%,78,81,100.0
LDOS,16/72 = 22.22%,24/72 = 33.33%,17/72 = 23.61%,15/72 = 20.83%,72,74,99.99
SO,20/84 = 23.81%,24/84 = 28.57%,18/84 = 21.43%,22/84 = 26.19%,84,88,100.0
CAT,14/70 = 20.00%,18/70 = 25.71%,18/70 = 25.71%,20/70 = 28.57%,70,70,99.99
ULTA,25/72 = 34.72%,25/72 = 34.72%,14/72 = 19.44%,8/72 = 11.11%,72,72,99.99
FANG,13/50 = 26.00%,14/50 = 28.00%,16/50 = 32.00%,7/50 = 14.00%,50,51,100.0
APTV,19/55 = 34.55%,17/55 = 30.91%,6/55 = 10.91%,13/55 = 23.64%,55,56,100.01
DAY,6/31 = 19.35%,10/31 = 32.26%,8/31 = 25.81%,7/31 = 22.58%,31,31,100.0
PCAR,21/86 = 24.42%,31/86 = 36.05%,22/86 = 25.58%,12/86 = 13.95%,86,89,100.0
CLX,15/84 = 17.86%,24/84 = 28.57%,26/84 = 30.95%,19/84 = 22.62%,84,86,100.0
